tamano,prueba,tiempo_segundos
400,1,0.323149
400,2,0.324124
400,3,0.321769
400,4,0.327996
400,5,0.319889
400,6,0.317176
400,7,0.329188
400,8,0.321822
400,9,0.317443
400,10,0.328629
400,promedio,0.323118
800,1,3.032208
800,2,3.077539
800,3,3.336563
800,4,3.263299
800,5,3.741851
800,6,3.111920
800,7,3.082103
800,8,3.088263
800,9,3.012118
800,10,3.439505
800,promedio,3.218537
1600,1,36.911902
1600,2,36.462786
1600,3,39.098506
1600,4,39.096747
1600,5,39.479282
1600,6,41.079017
1600,7,39.301995
1600,8,36.151663
1600,9,37.032878
1600,10,35.137010
1600,promedio,37.975179
3200,1,378.782411
3200,2,372.861355
3200,3,360.696014
3200,4,366.545494
3200,5,373.056613
3200,6,375.379123
3200,7,367.782201
3200,8,371.142324
3200,9,371.540727
3200,10,374.441306
3200,promedio,371.222757
