tamano,prueba,tiempo_segundos
400,1,0.066409
400,2,0.065153
400,3,0.067138
400,4,0.073433
400,5,0.065749
400,6,0.068386
400,7,0.066555
400,8,0.066863
400,9,0.064969
400,10,0.065685
400,promedio,0.067034
800,1,0.776500
800,2,0.776563
800,3,0.783667
800,4,0.771999
800,5,0.770958
800,6,0.773614
800,7,0.778009
800,8,0.783015
800,9,0.790229
800,10,0.815841
800,promedio,0.782039
1600,1,8.033495
1600,2,7.823851
1600,3,7.967927
1600,4,8.017436
1600,5,7.732574
1600,6,8.127195
1600,7,7.697035
1600,8,7.833691
1600,9,7.877893
1600,10,7.997060
1600,promedio,7.910816
3200,1,250.311573
3200,2,243.515649
3200,3,256.175813
3200,4,253.200953
3200,5,257.309465
3200,6,256.593692
3200,7,254.934726
3200,8,255.645808
3200,9,260.104140
3200,10,262.974312
3200,promedio,255.076613
