tamano,prueba,tiempo_segundos
400,1,0.204357
400,2,0.186378
400,3,0.186779
400,4,0.185208
400,5,0.188312
400,6,0.189955
400,7,0.184551
400,8,0.186177
400,9,0.187613
400,10,0.188564
400,promedio,0.188789
800,1,1.469076
800,2,1.461102
800,3,1.505891
800,4,1.503923
800,5,1.487122
800,6,1.475270
800,7,1.466183
800,8,1.493138
800,9,1.476503
800,10,1.477276
800,promedio,1.481548
1600,1,12.055741
1600,2,12.078997
1600,3,12.174804
1600,4,12.081939
1600,5,11.846121
1600,6,11.819946
1600,7,11.866242
1600,8,11.836203
1600,9,11.845678
1600,10,11.818008
1600,promedio,11.942368
3200,1,95.524097
3200,2,95.970269
3200,3,96.207825
3200,4,95.585044
3200,5,95.985789
3200,6,95.766823
3200,7,95.689048
3200,8,95.587302
3200,9,95.533880
3200,10,95.692134
3200,promedio,95.754221
