hilos,tamano,prueba,tiempo_segundos
2,400,1,0.172903
2,400,2,0.194100
2,400,3,0.168560
2,400,4,0.178054
2,400,5,0.168095
2,400,6,0.165558
2,400,7,0.166361
2,400,8,0.165075
2,400,9,0.170796
2,400,10,0.165736
2,400,promedio,0.171524
2,800,1,1.512119
2,800,2,1.527892
2,800,3,1.497346
2,800,4,1.493072
2,800,5,1.600631
2,800,6,1.612826
2,800,7,1.598855
2,800,8,1.722667
2,800,9,1.692888
2,800,10,1.563084
2,800,promedio,1.582138
2,1600,1,17.892702
2,1600,2,19.162260
2,1600,3,19.287632
2,1600,4,18.191709
2,1600,5,18.534131
2,1600,6,18.526189
2,1600,7,18.294366
2,1600,8,18.406997
2,1600,9,18.676914
2,1600,10,18.398878
2,1600,promedio,18.537178
2,3200,1,204.784383
2,3200,2,206.006342
2,3200,3,208.151844
2,3200,4,206.202189
2,3200,5,206.508911
2,3200,6,205.575614
2,3200,7,213.945966
2,3200,8,214.709390
2,3200,9,217.226122
2,3200,10,216.207996
2,3200,promedio,209.931876
4,400,1,0.114163
4,400,2,0.092835
4,400,3,0.080386
4,400,4,0.125341
4,400,5,0.083327
4,400,6,0.081008
4,400,7,0.101278
4,400,8,0.088404
4,400,9,0.081281
4,400,10,0.084671
4,400,promedio,0.093269
4,800,1,0.854270
4,800,2,0.878374
4,800,3,0.837133
4,800,4,0.870823
4,800,5,0.891717
4,800,6,0.827595
4,800,7,0.897012
4,800,8,0.856952
4,800,9,0.873660
4,800,10,0.876103
4,800,promedio,0.866364
4,1600,1,10.055108
4,1600,2,9.807150
4,1600,3,9.703741
4,1600,4,9.812770
4,1600,5,9.762534
4,1600,6,9.678935
4,1600,7,9.730104
4,1600,8,9.817817
4,1600,9,9.588564
4,1600,10,9.809164
4,1600,promedio,9.776589
4,3200,1,113.223527
4,3200,2,114.297036
4,3200,3,113.326318
4,3200,4,114.125307
4,3200,5,113.718340
4,3200,6,117.940414
4,3200,7,114.572122
4,3200,8,112.674086
4,3200,9,113.917629
4,3200,10,111.741483
4,3200,promedio,113.953626
8,400,1,0.064612
8,400,2,0.056131
8,400,3,0.068490
8,400,4,0.067400
8,400,5,0.065683
8,400,6,0.067731
8,400,7,0.059421
8,400,8,0.060828
8,400,9,0.081398
8,400,10,0.071008
8,400,promedio,0.066270
8,800,1,0.596839
8,800,2,0.586308
8,800,3,0.566815
8,800,4,0.568111
8,800,5,0.551496
8,800,6,0.568559
8,800,7,0.584703
8,800,8,0.584560
8,800,9,0.561230
8,800,10,0.605063
8,800,promedio,0.577368
8,1600,1,6.631785
8,1600,2,6.617335
8,1600,3,6.662634
8,1600,4,6.643592
8,1600,5,6.541722
8,1600,6,6.793001
8,1600,7,6.580487
8,1600,8,6.575704
8,1600,9,6.818121
8,1600,10,6.661213
8,1600,promedio,6.652559
8,3200,1,82.823683
8,3200,2,83.624678
8,3200,3,82.515450
8,3200,4,82.400539
8,3200,5,82.302532
8,3200,6,83.424050
8,3200,7,85.286862
8,3200,8,83.691611
8,3200,9,84.589116
8,3200,10,85.293685
8,3200,promedio,83.595220
